"left sensor","right sensor","left ultraviolet sensor","right ultraviolet sensor","left motor","right motor"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.18","0.0","0.0","229","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.18","0.0","0.0","229","120"
"0.07","0.18","0.0","0.0","229","120"
"0.07","0.18","0.0","0.0","229","120"
"0.07","0.18","0.0","0.0","229","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.86","0.0","220","-1000"
"0.07","0.17","0.84","0.0","220","-1000"
"0.07","0.16","0.84","0.0","210","-1000"
"0.07","0.17","0.85","0.0","220","-1000"
"0.08","0.17","0.85","0.0","220","-1000"
"0.07","0.16","0.85","0.0","210","-1000"
"0.07","0.16","0.8200000000000001","0.0","210","-1000"
"0.07","0.17","0.75","0.0","220","-1000"
"0.07","0.17","0.675","0.0","220","-1000"
"0.07","0.16","0.725","0.0","210","-1000"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.17","0.0","0.0","220","120"
"0.07","0.16","0.0","0.0","210","120"
"0.07","0.15","0.0","0.0","200","120"
"0.07","0.15","0.0","0.0","200","120"
"0.07","0.15","0.0","0.0","200","120"
"0.07","0.14","0.0","0.0","190","120"
"0.08","0.14","0.0","0.0","190","130"
"0.08","0.14","0.0","0.0","190","130"
"0.08","0.14","0.0","0.0","190","130"
"0.07","0.14","0.0","0.0","190","120"
"0.07","0.14","0.0","0.0","190","120"
"0.07","0.14","0.0","0.0","190","120"
"0.07","0.13","0.0","0.78","-1000","120"
"0.07","0.13","0.0","0.78","-1000","120"
"0.07","0.13","0.0","0.0","180","120"
"0.07","0.14","0.0","0.85","-1000","120"
"0.07","0.14","0.0","0.85","-1000","120"
"0.07","0.14","0.0","0.8","-1000","120"
"0.07","0.14","0.0","0.85","-1000","120"
"0.07","0.14","0.0","0.85","-1000","120"
"0.07","0.13","0.0","0.85","-1000","120"
"0.07","0.14","0.0","0.755","-1000","120"
"0.07","0.13","0.0","0.7150000000000001","-1000","120"
"0.07","0.13","0.0","0.8200000000000001","-1000","120"
"0.07","0.13","0.0","0.71","-1000","120"
"0.07","0.13","0.0","0.0","180","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.12","0.0","0.0","169","120"
"0.08","0.11","0.0","0.0","160","130"
"0.08","0.12","0.0","0.0","169","130"
"0.08","0.11","0.0","0.0","160","130"
"0.08","0.11","0.0","0.0","160","130"
"0.07","0.09","0.0","0.0","140","120"
"0.07","0.06","0.0","0.0","110","120"
"0.08","0.04","0.0","0.0","90","130"
"0.07","0.04","0.0","0.0","90","120"
"0.07","0.03","0.0","0.0","80","120"
"0.07","0.02","0.0","0.0","70","120"
"0.07","0.01","0.0","0.0","60","120"
"0.07","0.01","0.0","0.0","60","120"
"0.07","0.01","0.0","0.0","60","120"
"0.07","0.01","0.0","0.0","60","120"
"0.07","0.01","0.0","0.0","60","120"
"0.07","0.06","0.0","0.0","110","120"
"0.07","0.08","0.0","0.0","130","120"
"0.07","0.11","0.0","0.0","160","120"
"0.07","0.11","0.0","0.0","160","120"
"0.07","0.11","0.0","0.0","160","120"
"0.07","0.11","0.0","0.0","160","120"
"0.07","0.12","0.0","0.0","169","120"
"0.07","0.13","0.0","0.0","180","120"
"0.08","0.14","0.0","0.0","190","130"
"0.08","0.15","0.0","0.0","200","130"
"0.08","0.16","0.0","0.0","210","130"
"0.08","0.17","0.0","0.0","220","130"
"0.08","0.18","0.0","0.0","229","130"
"0.08","0.18","0.0","0.0","229","130"
"0.08","0.18","0.0","0.0","229","130"
"0.07","0.18","0.0","0.0","229","120"
"0.08","0.18","0.0","0.0","229","130"
"0.07","0.18","0.0","0.0","229","120"
"0.02","0.18","0.0","0.0","229","70"
"0.01","0.19","0.0","0.0","240","60"
"0.01","0.18","0.0","0.0","229","60"
"0.01","0.18","0.0","0.0","229","60"
"0.01","0.18","0.0","0.0","229","60"
"0.01","0.18","0.0","0.0","229","60"
"0.01","0.18","0.0","0.0","229","60"
"0.02","0.18","0.0","0.0","229","70"
"0.05","0.18","0.0","0.0","229","100"
"0.07","0.18","0.0","0.0","229","120"
"0.08","0.18","0.0","0.0","229","130"
"0.08","0.17","0.0","0.0","220","130"
"0.08","0.16","0.0","0.0","210","130"
"0.08","0.15","0.0","0.0","200","130"
"0.08","0.12","0.0","0.0","169","130"
"0.07","0.1","0.0","0.0","150","120"
"0.07","0.09","0.0","0.0","140","120"
"0.07","0.08","0.0","0.0","130","120"
"0.07","0.07","0.0","0.0","120","120"
"0.07","0.08","0.0","0.0","130","120"
"0.07","0.08","0.0","0.0","130","120"
"0.07","0.08","0.0","0.0","130","120"
"0.06","0.08","0.0","0.0","130","110"
"0.06","0.08","0.0","0.0","130","110"
"0.06","0.08","0.0","0.0","130","110"
"0.07","0.08","0.0","0.0","130","120"
